CP,Latitude,Longitude
1001,-34.595484275,-58.3736099125
1002,-34.603996339999995,-58.3713494
1003,-34.6000622375,-58.3727010875
1004,-34.60171940833333,-58.3736065
1005,-34.60112066,-58.37509924
1006,-34.5955533375,-58.3771195
1007,-34.59875022,-58.37859
1008,-34.60416515,-58.3792359
1009,-34.6002985,-58.38097826
1010,-34.5967569125,-58.386170275
1011,-34.5904668,-58.38233495555556
1012,-34.597520044444444,-58.38395082222222
1013,-34.60030656666667,-58.38567821111111
1014,-34.59166073,-58.38493167000001
1015,-34.60314788,-58.386478139999994
